"city","state","zipcode","areacode","FIPS","County","PrefApprovedNot","Type"
"Adena","OH","43901","740","39081","Jefferson","P",
"Adger","AL","35006","205","01073","Jefferson","P",
"Adin","CA","96006","530","06049","Modoc","P",
"Adirondack","NY","12808","518","36113","Warren","P",
"Adjuntas","PR","00601","787","72001","Adjuntas","P",
"Adjuntas","PR","00631","787","72081","Lares","A","P"
"Adkins","TX","78101","210","48029","Bexar","P",
"Admire","KS","66830","620","20111","Lyon","P",
"Adna","WA","98522","360","53041","Lewis","P","P"
"Adner","LA","71037","318","22015","Bossier","N",
"Adolph","MN","55701","218","27137","Saint Louis","P",
"Adolphus","KY","42120","270","21003","Allen","P",
"Adona","AR","72001","501","05105","Perry","P",
"Adrian","GA","31002","478","13167","Johnson","P",
"Adrian","IL","62330","217","17067","Hancock","A",
"Adrian","MI","49221","517","26091","Lenawee","P",
"Adrian","MN","56110","507","27105","Nobles","P",
"Adrian","MO","64720","816","29013","Bates","P",
"Adrian","ND","58472","701","38093","Stutsman","A",
"Adrian","OH","43316","419","39175","Wyandot","A",
"Adrian","OR","97901","541","41045","Malheur","P",
"Adrian","PA","16210","724","42005","Armstrong","P",
"Adrian","TX","79001","806","48359","Oldham","P",
"Adrian","WA","98851","509","53025","Grant","N",
"Adrian","WV","26210","304","54097","Upshur","P",
"Advance","IN","46102","765","18011","Boone","P","P"
"Advance","MO","63730","573","29207","Stoddard","P",
"Advance","NC","27006","336","37059","Davie","P",
"Advance Mills","VA","22968","434","51079","Greene","A",
"Advent","WV","25231","304","54035","Jackson","P",
"Adventureland Estates","IA","50009","515","19153","Polk","N",
"Aeneas","WA","98855","509","53047","Okanogan","N",
"Aerial Acres","CA","93523","661","06029","Kern","A",
"Aetna","TN","37033","931","47081","Hickman","N",
"Affton","MO","63123","314","29189","Saint Louis","A",
"Aflex","KY","41514","606","21195","Pike","A",
"Africa","PA","17236","717","42055","Franklin","N",
"Afton","CA","95920","530","06021","Glenn","N",
"Afton","IA","50830","641","19175","Union","P",
"Afton","MI","49705","231","26031","Cheboygan","P",
"Afton","MN","55001","651","27163","Washington","P",
"Afton","NY","13730","607","36017","Chenango","P",
"Afton","OK","74331","918","40041","Delaware","P",
"Afton","TN","37616","423","47059","Greene","P",
"Afton","TX","79220","806","48125","Dickens","P",
"Afton","VA","22920","540","51125","Nelson","P",
"Afton","WI","53501","608","55105","Rock","P","P"
"Afton","WY","83110","307","56023","Lincoln","P",
"Afton Lake","NY","13730","607","36017","Chenango","N",
"Agana","GU","96910","671","66010","Guam","N",
"Agana","GU","96932","671","66010","Guam","N","P"
"Agana Heights","GU","96910","671","66010","Guam","A",
"Agana Heights","GU","96919","671","66010","Guam","P",
"Agar","SD","57520","605","46119","Sully","P",
"Agat","GU","96928","671","66010","Guam","P","P"
"Agate","CO","80101","719","08039","Elbert","P",
"Agate","ND","58310","701","38079","Rolette","P",
"Agate Bay","CA","96140","530","06061","Placer","N","P"
"Agate Beach","OR","97365","541","41041","Lincoln","N",
"Agate Beach","WA","98343","360","53009","Clallam","N","P"
"Agawam","MA","01001","413","25013","Hampden","P",
"Agency","IA","52530","641","19179","Wapello","P",
"Agency","MO","64401","816","29021","Buchanan","P",
"Agency Village","SD","57262","605","46109","Roberts","A",
"Agenda","KS","66930","785","20157","Republic","P",
"Ages","KY","40801","606","21095","Harlan","N","P"
